# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 0.000000e+00)
# magUInf     : 7.300000e+00
# lRef        : 3.050000e-01
# Aref        : 1.525000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
50            	0.000000e+00	1.106315e+02	9.861340e+02	4.930670e+02	4.930670e+02
51            	0.000000e+00	9.814033e+01	1.007537e+03	5.037686e+02	5.037686e+02
52            	0.000000e+00	9.135216e+01	1.025039e+03	5.125194e+02	5.125194e+02
53            	0.000000e+00	9.221248e+01	1.034334e+03	5.171671e+02	5.171671e+02
54            	0.000000e+00	9.775993e+01	1.035006e+03	5.175032e+02	5.175032e+02
55            	0.000000e+00	1.036029e+02	1.032670e+03	5.163352e+02	5.163352e+02
56            	0.000000e+00	1.052292e+02	1.033904e+03	5.169519e+02	5.169519e+02
57            	0.000000e+00	1.022047e+02	1.041025e+03	5.205123e+02	5.205123e+02
58            	0.000000e+00	9.792429e+01	1.050399e+03	5.251993e+02	5.251993e+02
59            	0.000000e+00	9.598463e+01	1.057552e+03	5.287761e+02	5.287761e+02
60            	0.000000e+00	9.745784e+01	1.060472e+03	5.302360e+02	5.302360e+02
61            	0.000000e+00	1.001633e+02	1.062516e+03	5.312581e+02	5.312581e+02
62            	0.000000e+00	1.022048e+02	1.066075e+03	5.330374e+02	5.330374e+02
63            	0.000000e+00	1.016570e+02	1.071142e+03	5.355708e+02	5.355708e+02
64            	0.000000e+00	9.951123e+01	1.076635e+03	5.383177e+02	5.383177e+02
65            	0.000000e+00	9.781008e+01	1.082221e+03	5.411103e+02	5.411103e+02
66            	0.000000e+00	9.750927e+01	1.086953e+03	5.434763e+02	5.434763e+02
67            	0.000000e+00	9.878852e+01	1.089489e+03	5.447443e+02	5.447443e+02
68            	0.000000e+00	1.003238e+02	1.091768e+03	5.458841e+02	5.458841e+02
69            	0.000000e+00	1.008258e+02	1.094960e+03	5.474801e+02	5.474801e+02
70            	0.000000e+00	9.997019e+01	1.098951e+03	5.494754e+02	5.494754e+02
71            	0.000000e+00	9.868470e+01	1.103241e+03	5.516204e+02	5.516204e+02
72            	0.000000e+00	9.813354e+01	1.107306e+03	5.536530e+02	5.536530e+02
73            	0.000000e+00	9.848211e+01	1.110640e+03	5.553202e+02	5.553202e+02
74            	0.000000e+00	9.925024e+01	1.113057e+03	5.565285e+02	5.565285e+02
75            	0.000000e+00	9.984502e+01	1.115158e+03	5.575790e+02	5.575790e+02
76            	0.000000e+00	9.989229e+01	1.117756e+03	5.588781e+02	5.588781e+02
77            	0.000000e+00	9.941480e+01	1.121046e+03	5.605229e+02	5.605229e+02
78            	0.000000e+00	9.882622e+01	1.124274e+03	5.621371e+02	5.621371e+02
79            	0.000000e+00	9.859274e+01	1.127088e+03	5.635439e+02	5.635439e+02
80            	0.000000e+00	9.877018e+01	1.129686e+03	5.648432e+02	5.648432e+02
81            	0.000000e+00	9.912634e+01	1.132216e+03	5.661078e+02	5.661078e+02
82            	0.000000e+00	9.936377e+01	1.134468e+03	5.672338e+02	5.672338e+02
83            	0.000000e+00	9.931245e+01	1.136150e+03	5.680750e+02	5.680750e+02
84            	0.000000e+00	9.907984e+01	1.138008e+03	5.690040e+02	5.690040e+02
85            	0.000000e+00	9.887444e+01	1.140418e+03	5.702091e+02	5.702091e+02
86            	0.000000e+00	9.883431e+01	1.142895e+03	5.714473e+02	5.714473e+02
87            	0.000000e+00	9.893007e+01	1.145325e+03	5.726627e+02	5.726627e+02
88            	0.000000e+00	9.904591e+01	1.147673e+03	5.738363e+02	5.738363e+02
89            	0.000000e+00	9.906555e+01	1.149408e+03	5.747042e+02	5.747042e+02
90            	0.000000e+00	9.899063e+01	1.151068e+03	5.755338e+02	5.755338e+02
91            	0.000000e+00	9.888004e+01	1.152788e+03	5.763942e+02	5.763942e+02
92            	0.000000e+00	9.882849e+01	1.154897e+03	5.774484e+02	5.774484e+02
93            	0.000000e+00	9.884134e+01	1.156761e+03	5.783805e+02	5.783805e+02
94            	0.000000e+00	9.888597e+01	1.158440e+03	5.792200e+02	5.792200e+02
95            	0.000000e+00	9.892413e+01	1.160162e+03	5.800808e+02	5.800808e+02
96            	0.000000e+00	9.891048e+01	1.161822e+03	5.809112e+02	5.809112e+02
97            	0.000000e+00	9.885499e+01	1.163405e+03	5.817025e+02	5.817025e+02
98            	0.000000e+00	9.878356e+01	1.165005e+03	5.825026e+02	5.825026e+02
99            	0.000000e+00	9.875253e+01	1.166495e+03	5.832475e+02	5.832475e+02
100           	0.000000e+00	9.875880e+01	1.167973e+03	5.839864e+02	5.839864e+02
101           	0.000000e+00	9.878059e+01	1.169488e+03	5.847441e+02	5.847441e+02
102           	0.000000e+00	9.878289e+01	1.170807e+03	5.854035e+02	5.854035e+02
103           	0.000000e+00	9.876432e+01	1.172016e+03	5.860082e+02	5.860082e+02
104           	0.000000e+00	9.873445e+01	1.173172e+03	5.865858e+02	5.865858e+02
105           	0.000000e+00	9.870862e+01	1.174357e+03	5.871785e+02	5.871785e+02
106           	0.000000e+00	9.868815e+01	1.175730e+03	5.878649e+02	5.878649e+02
107           	0.000000e+00	9.868097e+01	1.177132e+03	5.885659e+02	5.885659e+02
108           	0.000000e+00	9.867833e+01	1.178293e+03	5.891465e+02	5.891465e+02
109           	0.000000e+00	9.866962e+01	1.179140e+03	5.895699e+02	5.895699e+02
110           	0.000000e+00	9.865272e+01	1.179938e+03	5.899690e+02	5.899690e+02
111           	0.000000e+00	9.863396e+01	1.180857e+03	5.904287e+02	5.904287e+02
112           	0.000000e+00	9.861928e+01	1.181869e+03	5.909346e+02	5.909346e+02
113           	0.000000e+00	9.861055e+01	1.182846e+03	5.914229e+02	5.914229e+02
114           	0.000000e+00	9.860591e+01	1.183754e+03	5.918772e+02	5.918772e+02
115           	0.000000e+00	9.860186e+01	1.184609e+03	5.923044e+02	5.923044e+02
116           	0.000000e+00	9.859652e+01	1.185456e+03	5.927282e+02	5.927282e+02
117           	0.000000e+00	9.858623e+01	1.186239e+03	5.931197e+02	5.931197e+02
118           	0.000000e+00	9.857295e+01	1.186984e+03	5.934920e+02	5.934920e+02
119           	0.000000e+00	9.856112e+01	1.187701e+03	5.938503e+02	5.938503e+02
120           	0.000000e+00	9.855307e+01	1.188428e+03	5.942142e+02	5.942142e+02
121           	0.000000e+00	9.854819e+01	1.189158e+03	5.945789e+02	5.945789e+02
122           	0.000000e+00	9.854323e+01	1.189838e+03	5.949188e+02	5.949188e+02
123           	0.000000e+00	9.854016e+01	1.190395e+03	5.951973e+02	5.951973e+02
124           	0.000000e+00	9.853390e+01	1.191054e+03	5.955272e+02	5.955272e+02
125           	0.000000e+00	9.852572e+01	1.191758e+03	5.958792e+02	5.958792e+02
126           	0.000000e+00	9.852075e+01	1.192342e+03	5.961708e+02	5.961708e+02
127           	0.000000e+00	9.851393e+01	1.192928e+03	5.964640e+02	5.964640e+02
128           	0.000000e+00	9.850702e+01	1.193507e+03	5.967537e+02	5.967537e+02
129           	0.000000e+00	9.850343e+01	1.194000e+03	5.969998e+02	5.969998e+02
130           	0.000000e+00	9.849800e+01	1.194540e+03	5.972701e+02	5.972701e+02
131           	0.000000e+00	9.849197e+01	1.195104e+03	5.975519e+02	5.975519e+02
132           	0.000000e+00	9.848785e+01	1.195558e+03	5.977791e+02	5.977791e+02
133           	0.000000e+00	9.848297e+01	1.196055e+03	5.980273e+02	5.980273e+02
134           	0.000000e+00	9.847810e+01	1.196569e+03	5.982846e+02	5.982846e+02
135           	0.000000e+00	9.847563e+01	1.196993e+03	5.984965e+02	5.984965e+02
136           	0.000000e+00	9.847135e+01	1.197439e+03	5.987195e+02	5.987195e+02
137           	0.000000e+00	9.846624e+01	1.197893e+03	5.989467e+02	5.989467e+02
138           	0.000000e+00	9.846126e+01	1.198330e+03	5.991651e+02	5.991651e+02
139           	0.000000e+00	9.845804e+01	1.198676e+03	5.993381e+02	5.993381e+02
140           	0.000000e+00	9.845431e+01	1.199070e+03	5.995352e+02	5.995352e+02
141           	0.000000e+00	9.845070e+01	1.199498e+03	5.997492e+02	5.997492e+02
142           	0.000000e+00	9.844896e+01	1.199862e+03	5.999309e+02	5.999309e+02
143           	0.000000e+00	9.844557e+01	1.200228e+03	6.001142e+02	6.001142e+02
144           	0.000000e+00	9.844120e+01	1.200584e+03	6.002919e+02	6.002919e+02
145           	0.000000e+00	9.843679e+01	1.200922e+03	6.004609e+02	6.004609e+02
146           	0.000000e+00	9.843293e+01	1.201242e+03	6.006209e+02	6.006209e+02
147           	0.000000e+00	9.842949e+01	1.201536e+03	6.007681e+02	6.007681e+02
148           	0.000000e+00	9.842664e+01	1.201829e+03	6.009143e+02	6.009143e+02
149           	0.000000e+00	9.842462e+01	1.202146e+03	6.010728e+02	6.010728e+02
150           	0.000000e+00	9.842256e+01	1.202456e+03	6.012279e+02	6.012279e+02
151           	0.000000e+00	9.841999e+01	1.202739e+03	6.013697e+02	6.013697e+02
152           	0.000000e+00	9.841655e+01	1.202985e+03	6.014924e+02	6.014924e+02
153           	0.000000e+00	9.841319e+01	1.203229e+03	6.016146e+02	6.016146e+02
154           	0.000000e+00	9.841023e+01	1.203483e+03	6.017414e+02	6.017414e+02
155           	0.000000e+00	9.840792e+01	1.203739e+03	6.018697e+02	6.018697e+02
156           	0.000000e+00	9.840603e+01	1.203986e+03	6.019930e+02	6.019930e+02
157           	0.000000e+00	9.840409e+01	1.204215e+03	6.021073e+02	6.021073e+02
158           	0.000000e+00	9.840162e+01	1.204424e+03	6.022119e+02	6.022119e+02
159           	0.000000e+00	9.839887e+01	1.204627e+03	6.023135e+02	6.023135e+02
160           	0.000000e+00	9.839614e+01	1.204834e+03	6.024168e+02	6.024168e+02
161           	0.000000e+00	9.839400e+01	1.205052e+03	6.025258e+02	6.025258e+02
162           	0.000000e+00	9.839226e+01	1.205259e+03	6.026296e+02	6.026296e+02
163           	0.000000e+00	9.839052e+01	1.205443e+03	6.027213e+02	6.027213e+02
164           	0.000000e+00	9.838868e+01	1.205612e+03	6.028059e+02	6.028059e+02
165           	0.000000e+00	9.838667e+01	1.205782e+03	6.028910e+02	6.028910e+02
166           	0.000000e+00	9.838475e+01	1.205965e+03	6.029827e+02	6.029827e+02
167           	0.000000e+00	9.838285e+01	1.206144e+03	6.030722e+02	6.030722e+02
168           	0.000000e+00	9.838110e+01	1.206310e+03	6.031552e+02	6.031552e+02
169           	0.000000e+00	9.837934e+01	1.206456e+03	6.032282e+02	6.032282e+02
170           	0.000000e+00	9.837768e+01	1.206598e+03	6.032989e+02	6.032989e+02
171           	0.000000e+00	9.837626e+01	1.206751e+03	6.033757e+02	6.033757e+02
172           	0.000000e+00	9.837488e+01	1.206906e+03	6.034532e+02	6.034532e+02
173           	0.000000e+00	9.837335e+01	1.207048e+03	6.035240e+02	6.035240e+02
174           	0.000000e+00	9.837176e+01	1.207176e+03	6.035881e+02	6.035881e+02
175           	0.000000e+00	9.837023e+01	1.207300e+03	6.036501e+02	6.036501e+02
176           	0.000000e+00	9.836896e+01	1.207432e+03	6.037161e+02	6.037161e+02
177           	0.000000e+00	9.836780e+01	1.207563e+03	6.037815e+02	6.037815e+02
178           	0.000000e+00	9.836669e+01	1.207687e+03	6.038435e+02	6.038435e+02
179           	0.000000e+00	9.836542e+01	1.207797e+03	6.038986e+02	6.038986e+02
180           	0.000000e+00	9.836410e+01	1.207902e+03	6.039511e+02	6.039511e+02
181           	0.000000e+00	9.836294e+01	1.208015e+03	6.040073e+02	6.040073e+02
182           	0.000000e+00	9.836186e+01	1.208128e+03	6.040638e+02	6.040638e+02
183           	0.000000e+00	9.836086e+01	1.208235e+03	6.041173e+02	6.041173e+02
184           	0.000000e+00	9.835987e+01	1.208333e+03	6.041664e+02	6.041664e+02
185           	0.000000e+00	9.835878e+01	1.208422e+03	6.042112e+02	6.042112e+02
186           	0.000000e+00	9.835768e+01	1.208511e+03	6.042557e+02	6.042557e+02
187           	0.000000e+00	9.835674e+01	1.208608e+03	6.043039e+02	6.043039e+02
188           	0.000000e+00	9.835590e+01	1.208703e+03	6.043517e+02	6.043517e+02
189           	0.000000e+00	9.835511e+01	1.208792e+03	6.043961e+02	6.043961e+02
190           	0.000000e+00	9.835423e+01	1.208870e+03	6.044349e+02	6.044349e+02
191           	0.000000e+00	9.835339e+01	1.208946e+03	6.044731e+02	6.044731e+02
192           	0.000000e+00	9.835254e+01	1.209025e+03	6.045124e+02	6.045124e+02
193           	0.000000e+00	9.835173e+01	1.209104e+03	6.045520e+02	6.045520e+02
194           	0.000000e+00	9.835096e+01	1.209180e+03	6.045901e+02	6.045901e+02
195           	0.000000e+00	9.835023e+01	1.209251e+03	6.046257e+02	6.046257e+02
196           	0.000000e+00	9.834947e+01	1.209317e+03	6.046584e+02	6.046584e+02
197           	0.000000e+00	9.834880e+01	1.209383e+03	6.046917e+02	6.046917e+02
198           	0.000000e+00	9.834816e+01	1.209450e+03	6.047252e+02	6.047252e+02
199           	0.000000e+00	9.834752e+01	1.209516e+03	6.047578e+02	6.047578e+02
200           	0.000000e+00	9.834689e+01	1.209577e+03	6.047883e+02	6.047883e+02
201           	0.000000e+00	9.834625e+01	1.209635e+03	6.048175e+02	6.048175e+02
202           	0.000000e+00	9.834564e+01	1.209692e+03	6.048459e+02	6.048459e+02
203           	0.000000e+00	9.834505e+01	1.209748e+03	6.048740e+02	6.048740e+02
204           	0.000000e+00	9.834449e+01	1.209803e+03	6.049014e+02	6.049014e+02
205           	0.000000e+00	9.834395e+01	1.209856e+03	6.049279e+02	6.049279e+02
206           	0.000000e+00	9.834343e+01	1.209907e+03	6.049534e+02	6.049534e+02
207           	0.000000e+00	9.834291e+01	1.209956e+03	6.049780e+02	6.049780e+02
208           	0.000000e+00	9.834241e+01	1.210004e+03	6.050018e+02	6.050018e+02
209           	0.000000e+00	9.834192e+01	1.210050e+03	6.050251e+02	6.050251e+02
210           	0.000000e+00	9.834145e+01	1.210095e+03	6.050477e+02	6.050477e+02
211           	0.000000e+00	9.834099e+01	1.210139e+03	6.050697e+02	6.050697e+02
212           	0.000000e+00	9.834055e+01	1.210182e+03	6.050909e+02	6.050909e+02
213           	0.000000e+00	9.834012e+01	1.210223e+03	6.051115e+02	6.051115e+02
214           	0.000000e+00	9.833971e+01	1.210263e+03	6.051315e+02	6.051315e+02
215           	0.000000e+00	9.833930e+01	1.210302e+03	6.051509e+02	6.051509e+02
216           	0.000000e+00	9.833891e+01	1.210339e+03	6.051696e+02	6.051696e+02
217           	0.000000e+00	9.833852e+01	1.210376e+03	6.051878e+02	6.051878e+02
218           	0.000000e+00	9.833815e+01	1.210411e+03	6.052055e+02	6.052055e+02
219           	0.000000e+00	9.833779e+01	1.210445e+03	6.052227e+02	6.052227e+02
220           	0.000000e+00	9.833744e+01	1.210479e+03	6.052393e+02	6.052393e+02
221           	0.000000e+00	9.833711e+01	1.210511e+03	6.052554e+02	6.052554e+02
222           	0.000000e+00	9.833678e+01	1.210542e+03	6.052710e+02	6.052710e+02
223           	0.000000e+00	9.833643e+01	1.210571e+03	6.052857e+02	6.052857e+02
224           	0.000000e+00	9.833610e+01	1.210600e+03	6.053000e+02	6.053000e+02
225           	0.000000e+00	9.833582e+01	1.210630e+03	6.053149e+02	6.053149e+02
226           	0.000000e+00	9.833553e+01	1.210658e+03	6.053289e+02	6.053289e+02
227           	0.000000e+00	9.833525e+01	1.210684e+03	6.053421e+02	6.053421e+02
228           	0.000000e+00	9.833497e+01	1.210710e+03	6.053548e+02	6.053548e+02
229           	0.000000e+00	9.833471e+01	1.210735e+03	6.053673e+02	6.053673e+02
230           	0.000000e+00	9.833444e+01	1.210759e+03	6.053797e+02	6.053797e+02
231           	0.000000e+00	9.833419e+01	1.210783e+03	6.053917e+02	6.053917e+02
232           	0.000000e+00	9.833395e+01	1.210807e+03	6.054033e+02	6.054033e+02
233           	0.000000e+00	9.833372e+01	1.210829e+03	6.054144e+02	6.054144e+02
234           	0.000000e+00	9.833350e+01	1.210850e+03	6.054251e+02	6.054251e+02
235           	0.000000e+00	9.833328e+01	1.210871e+03	6.054356e+02	6.054356e+02
236           	0.000000e+00	9.833306e+01	1.210892e+03	6.054458e+02	6.054458e+02
237           	0.000000e+00	9.833285e+01	1.210911e+03	6.054557e+02	6.054557e+02
238           	0.000000e+00	9.833265e+01	1.210931e+03	6.054653e+02	6.054653e+02
239           	0.000000e+00	9.833246e+01	1.210949e+03	6.054746e+02	6.054746e+02
240           	0.000000e+00	9.833227e+01	1.210967e+03	6.054836e+02	6.054836e+02
241           	0.000000e+00	9.833209e+01	1.210985e+03	6.054924e+02	6.054924e+02
242           	0.000000e+00	9.833191e+01	1.211002e+03	6.055008e+02	6.055008e+02
243           	0.000000e+00	9.833174e+01	1.211018e+03	6.055090e+02	6.055090e+02
244           	0.000000e+00	9.833157e+01	1.211034e+03	6.055170e+02	6.055170e+02
245           	0.000000e+00	9.833140e+01	1.211049e+03	6.055243e+02	6.055243e+02
246           	0.000000e+00	9.833122e+01	1.211061e+03	6.055303e+02	6.055303e+02
247           	0.000000e+00	9.833106e+01	1.211080e+03	6.055400e+02	6.055400e+02
248           	0.000000e+00	9.833093e+01	1.211096e+03	6.055481e+02	6.055481e+02
249           	0.000000e+00	9.833081e+01	1.211105e+03	6.055527e+02	6.055527e+02
250           	0.000000e+00	9.833067e+01	1.211116e+03	6.055580e+02	6.055580e+02
251           	0.000000e+00	9.833052e+01	1.211133e+03	6.055667e+02	6.055667e+02
252           	0.000000e+00	9.833038e+01	1.211148e+03	6.055742e+02	6.055742e+02
253           	0.000000e+00	9.833026e+01	1.211157e+03	6.055783e+02	6.055783e+02
254           	0.000000e+00	9.833013e+01	1.211166e+03	6.055829e+02	6.055829e+02
255           	0.000000e+00	9.832999e+01	1.211180e+03	6.055899e+02	6.055899e+02
256           	0.000000e+00	9.832986e+01	1.211191e+03	6.055955e+02	6.055955e+02
257           	0.000000e+00	9.832975e+01	1.211202e+03	6.056008e+02	6.056008e+02
258           	0.000000e+00	9.832964e+01	1.211212e+03	6.056058e+02	6.056058e+02
259           	0.000000e+00	9.832957e+01	1.211224e+03	6.056119e+02	6.056119e+02
260           	0.000000e+00	9.832948e+01	1.211232e+03	6.056160e+02	6.056160e+02
261           	0.000000e+00	9.832939e+01	1.211240e+03	6.056200e+02	6.056200e+02
262           	0.000000e+00	9.832928e+01	1.211249e+03	6.056245e+02	6.056245e+02
263           	0.000000e+00	9.832915e+01	1.211259e+03	6.056293e+02	6.056293e+02
264           	0.000000e+00	9.832905e+01	1.211270e+03	6.056350e+02	6.056350e+02
265           	0.000000e+00	9.832898e+01	1.211274e+03	6.056371e+02	6.056371e+02
266           	0.000000e+00	9.832889e+01	1.211284e+03	6.056420e+02	6.056420e+02
267           	0.000000e+00	9.832882e+01	1.211293e+03	6.056467e+02	6.056467e+02
268           	0.000000e+00	9.832874e+01	1.211301e+03	6.056505e+02	6.056505e+02
269           	0.000000e+00	9.832866e+01	1.211308e+03	6.056538e+02	6.056538e+02
270           	0.000000e+00	9.832861e+01	1.211311e+03	6.056554e+02	6.056554e+02
271           	0.000000e+00	9.832851e+01	1.211321e+03	6.056604e+02	6.056604e+02
272           	0.000000e+00	9.832843e+01	1.211330e+03	6.056650e+02	6.056650e+02
273           	0.000000e+00	9.832838e+01	1.211334e+03	6.056669e+02	6.056669e+02
274           	0.000000e+00	9.832830e+01	1.211339e+03	6.056693e+02	6.056693e+02
275           	0.000000e+00	9.832822e+01	1.211349e+03	6.056745e+02	6.056745e+02
276           	0.000000e+00	9.832816e+01	1.211353e+03	6.056766e+02	6.056766e+02
277           	0.000000e+00	9.832810e+01	1.211357e+03	6.056787e+02	6.056787e+02
278           	0.000000e+00	9.832804e+01	1.211363e+03	6.056813e+02	6.056813e+02
279           	0.000000e+00	9.832799e+01	1.211372e+03	6.056862e+02	6.056862e+02
280           	0.000000e+00	9.832795e+01	1.211376e+03	6.056879e+02	6.056879e+02
281           	0.000000e+00	9.832791e+01	1.211379e+03	6.056896e+02	6.056896e+02
282           	0.000000e+00	9.832785e+01	1.211383e+03	6.056917e+02	6.056917e+02
283           	0.000000e+00	9.832779e+01	1.211388e+03	6.056942e+02	6.056942e+02
284           	0.000000e+00	9.832772e+01	1.211398e+03	6.056989e+02	6.056989e+02
285           	0.000000e+00	9.832769e+01	1.211400e+03	6.057000e+02	6.057000e+02
286           	0.000000e+00	9.832765e+01	1.211402e+03	6.057012e+02	6.057012e+02
287           	0.000000e+00	9.832760e+01	1.211406e+03	6.057030e+02	6.057030e+02
288           	0.000000e+00	9.832756e+01	1.211411e+03	6.057053e+02	6.057053e+02
289           	0.000000e+00	9.832752e+01	1.211416e+03	6.057079e+02	6.057079e+02
290           	0.000000e+00	9.832748e+01	1.211421e+03	6.057104e+02	6.057104e+02
291           	0.000000e+00	9.832743e+01	1.211425e+03	6.057125e+02	6.057125e+02
292           	0.000000e+00	9.832738e+01	1.211428e+03	6.057140e+02	6.057140e+02
293           	0.000000e+00	9.832735e+01	1.211431e+03	6.057154e+02	6.057154e+02
294           	0.000000e+00	9.832732e+01	1.211434e+03	6.057168e+02	6.057168e+02
295           	0.000000e+00	9.832730e+01	1.211437e+03	6.057185e+02	6.057185e+02
296           	0.000000e+00	9.832727e+01	1.211441e+03	6.057203e+02	6.057203e+02
297           	0.000000e+00	9.832724e+01	1.211444e+03	6.057222e+02	6.057222e+02
298           	0.000000e+00	9.832719e+01	1.211448e+03	6.057240e+02	6.057240e+02
299           	0.000000e+00	9.832715e+01	1.211451e+03	6.057255e+02	6.057255e+02
300           	0.000000e+00	9.832711e+01	1.211453e+03	6.057267e+02	6.057267e+02
301           	0.000000e+00	9.832709e+01	1.211456e+03	6.057279e+02	6.057279e+02
302           	0.000000e+00	9.832707e+01	1.211458e+03	6.057291e+02	6.057291e+02
303           	0.000000e+00	9.832706e+01	1.211461e+03	6.057305e+02	6.057305e+02
304           	0.000000e+00	9.832705e+01	1.211464e+03	6.057320e+02	6.057320e+02
305           	0.000000e+00	9.832702e+01	1.211467e+03	6.057335e+02	6.057335e+02
306           	0.000000e+00	9.832698e+01	1.211469e+03	6.057347e+02	6.057347e+02
307           	0.000000e+00	9.832695e+01	1.211472e+03	6.057358e+02	6.057358e+02
308           	0.000000e+00	9.832692e+01	1.211474e+03	6.057368e+02	6.057368e+02
309           	0.000000e+00	9.832690e+01	1.211475e+03	6.057377e+02	6.057377e+02
310           	0.000000e+00	9.832690e+01	1.211475e+03	6.057377e+02	6.057377e+02
311           	0.000000e+00	9.832687e+01	1.211479e+03	6.057394e+02	6.057394e+02
312           	0.000000e+00	9.832684e+01	1.211483e+03	6.057413e+02	6.057413e+02
313           	0.000000e+00	9.832681e+01	1.211486e+03	6.057430e+02	6.057430e+02
314           	0.000000e+00	9.832680e+01	1.211487e+03	6.057437e+02	6.057437e+02
